name,sov_a3,latitude,longitude,pop_max,region
Anchorage,USA,61.21997,-149.90021,260283,West
San Francisco,USA,37.74001,-122.45998,3450000,West
Denver,USA,39.73919,-104.98402,2313000,West
Houston,USA,29.81997,-95.33998,4459000,South
Miami,USA,25.78761,-80.22411,5585000,South
Atlanta,USA,33.83001,-84.39995,4506000,South
Chicago,USA,41.82999,-87.75005,8990000,Midwest
Los Angeles,USA,33.98998,-118.17998,12500000,West
Washington D.C.,USA,38.89955,-77.00942,4338000,South
New York,USA,40.74998,-73.98002,19040000,Northeast
