name	description	function	returns	argument	type	details
ee.Algorithms.Landsat.simpleCloudScore	Computes a simple cloud-likelihood score in the range [0,100] using a combination of brightness, temperature, and NDSI.  This is not a robust cloud detector, and is intended mainly to compare multiple looks at the same point for *relative* cloud likelihood.	ee.Algorithms.Landsat.simpleCloudScore(image)	Image	image	Image	The Landsat TOA image to process.
ee.Algorithms.Landsat.simpleComposite	Computes a Landsat TOA composite from a collection of raw Landsat scenes.  It applies standard TOA calibration and then assigns a cloud score to each pixel using the SimpleLandsatCloudScore algorithm. It selects the lowest possible range of cloud scores at each point and then computes per-band percentile values from the accepted pixels.  This algorithm also uses the LandsatPathRowLimit algorithm to select only the least-cloudy scenes in regions where more than maxDepth input scenes are available.	ee.Algorithms.Landsat.simpleComposite(collection, percentile, cloudScoreRange, maxDepth, asFloat)	Image	collection|percentile|cloudScoreRange|maxDepth|asFloat	ImageCollection|Integer, default: 50|Integer, default: 10|Integer, default: 40|Boolean, default: false	The raw Landsat ImageCollection to composite.|The percentile value to use when compositing each band.|The size of the range of cloud scores to accept per pixel.|An approximate limit on the maximum number of scenes used to compute each pixel.|If true, output bands are in the same units as the Landsat.TOA algorithm; if false, TOA values are converted to uint8 by multiplying by 255 (reflective bands) or subtracting 100 (thermal bands) and rounding to the nearest integer.
ee.Algorithms.ProjectionTransform	Transforms the geometry of a feature to a specific projection.	ee.Algorithms.ProjectionTransform(feature, proj, maxError)	Feature	feature|proj|maxError	Element|Projection, optional|ErrorMargin, default: null	The feature the geometry of which is being converted.|The target projection. Defaults to WGS84. If this has a geographic CRS, the edges of the geometry will be interpreted as geodesics. Otherwise they will be interpreted as straight lines in the projection.|The maximum projection error.
ee.Algorithms.String	Converts the input to a string.	ee.Algorithms.String(input)	String	input	Object	The object to convert.
ee.Algorithms.TemporalSegmentation.Ccdc	Implements the Continuous Change Detection and Classification temporal breakpoint algorithm.  This algorithm finds temporal breakpoints in an image collection by iteratively fitting harmonic functions to the data.  Fit coefficients are produced for all input bands, but the bands used for breakpoint detection can be specified with the 'breakpointBands' argument.	ee.Algorithms.TemporalSegmentation.Ccdc(collection, breakpointBands, tmaskBands, minObservations, chiSquareProbability, minNumOfYearsScaler, dateFormat, lambda, maxIterations)	Image	collection|breakpointBands|tmaskBands|minObservations|chiSquareProbability|minNumOfYearsScaler|dateFormat|lambda|maxIterations	ImageCollection|List, default: null|List, default: null|Integer, default: 6|Float, default: 0.99|Float, default: 1.33|Integer, default: 0|Float, default: 20|Integer, default: 25000	Collection of images on which to run CCDC.|The name or index of the bands to use for change detection. If unspecified, all bands are used.|The name or index of the bands to use for iterative TMask cloud detection. These are typically the green band and the SWIR2 band.  If unspecified, TMask is not used.  If specified, 'tmaskBands' must be included in 'breakpointBands'.|The number of observations required to flag a change.|The chi-square probability threshold for change detection in the range of [0, 1]|Factors of minimum number of years to apply new fitting.|The time representation to use during fitting: 0 = jDays, 1 = fractional years,  2 = unix time in milliseconds. The start, end and break times for each temporal  segment will be encoded this way.|Lambda for LASSO regression fitting. If set to 0, regular OLS is used instead of LASSO.|Maximum number of runs for LASSO regression convergence. If set to 0, regular OLS is used instead of LASSO.
ee.Algorithms.TemporalSegmentation.Ewmacd	Exponentially Weighted Moving Average Change Detection. This algorithm computes a harmonic model for the 'training' portion of the input data and subtracts that from the original results.  The residuals are then subjected to Shewhart X-bar charts and an exponentially weighted moving average.  Disturbed pixels are indicated when the charts signal a deviation from the given control limits.	ee.Algorithms.TemporalSegmentation.Ewmacd(timeSeries, vegetationThreshold, trainingStartYear, trainingEndYear, harmonicCount, xBarLimit1, xBarLimit2, lambda, lambdasigs, rounding, persistence)	Image	timeSeries|vegetationThreshold|trainingStartYear|trainingEndYear|harmonicCount|xBarLimit1|xBarLimit2|lambda|lambdasigs|rounding|persistence	ImageCollection|Float|Integer|Integer|Integer, default: 2|Float, default: 1.5|Integer, default: 20|Float, default: 0.3|Float, default: 3|Boolean, default: true|Integer, default: 3	Collection from which to extract EWMA. This collection is expected to contain 1 image for each year and be sorted temporally.|Threshold for vegetation. Values below this are considered non-vegetation.|Start year of training period, inclusive.|End year of training period, exclusive.|Number of harmonic function pairs (sine and cosine) used.|Threshold for initial training xBar limit.|Threshold for running xBar limit.|The 'lambda' tuning parameter weighting new years vs the running average.|EWMA control bounds, in units of standard deviations.|Should rounding be performed for EWMA|Minimum number of observations needed to consider a change.
ee.Algorithms.TemporalSegmentation.LandTrendr	Landsat-based detection of Trends in Disturbance and Recovery: temporally segments a time-series of images by extracting the spectral trajectories of change over time. The first band of each image is used to find breakpoints, and those breakpoints are used to perform fitting on all subsequent bands. The breakpoints are returned as a 2-D matrix of 4 rows and as many columns as images. The first two rows are the original X and Y values. The third row contains the Y values fitted to the estimated segments, and the 4th row contains a 1 if the corresponding point was used as a segment vertex or 0 if not. Any additional fitted bands are appended as rows in the output. Breakpoint fitting assumes that increasing values represent disturbance and decreasing values represent recovery.	ee.Algorithms.TemporalSegmentation.LandTrendr(timeSeries, maxSegments, spikeThreshold, vertexCountOvershoot, preventOneYearRecovery, recoveryThreshold, pvalThreshold, bestModelProportion, minObservationsNeeded)	Image	timeSeries|maxSegments|spikeThreshold|vertexCountOvershoot|preventOneYearRecovery|recoveryThreshold|pvalThreshold|bestModelProportion|minObservationsNeeded	ImageCollection|Integer|Float, default: 0.9|Integer, default: 3|Boolean, default: false|Float, default: 0.25|Float, default: 0.1|Float, default: 1.25|Integer, default: 6	Yearly time-series from which to extract breakpoints. The first band is usedto find breakpoints, and all subsequent bands are fitted using those breakpoints.|Maximum number of segments to be fitted on the time series.|Threshold for dampening the spikes (1.0 means no dampening).|The initial model can overshoot the maxSegments + 1 vertices by this amount. Later, it will be pruned down to maxSegments + 1.|Prevent segments that represent one year recoveries.|If a segment has a recovery rate faster than 1/recoveryThreshold (in years), then the segment is disallowed.|If the p-value of the fitted model exceeds this threshold, then the current model is discarded and another one is fitted using the Levenberg-Marquardt optimizer.|Takes the model with most vertices that has a p-value that is at most this proportion away from the model with lowest p-value.|Min observations needed to perform output fitting.
ee.Algorithms.TemporalSegmentation.LandTrendrFit	Interpolates a time series using a set of LandTrendr breakpoint years. For each input band in the timeSeries, outputs a new 1D array-valued band containing the input values interpolated between the breakpoint times identified by the vertices image.  See the LandTrendr Algorithm for more details.	ee.Algorithms.TemporalSegmentation.LandTrendrFit(timeSeries, vertices, spikeThreshold, minObservationsNeeded)	Image	timeSeries|vertices|spikeThreshold|minObservationsNeeded	ImageCollection|Image|Float, default: 0.9|Integer, default: 6	Time series to interpolate.|Vertices image. A 1D array of LandTrendr breakpoint years.|Threshold for dampening input spikes (1.0 means no dampening).|Min observations needed.
ee.Algorithms.TemporalSegmentation.VCT	Vegetation Change Tracker, an automated approach for reconstructing recent forest disturbance history using dense Landsat time series stacks.	ee.Algorithms.TemporalSegmentation.VCT(timeSeries, landCover, maxUd, minNdvi, forThrMax, nYears)	Image	timeSeries|landCover|maxUd|minNdvi|forThrMax|nYears	ImageCollection|ImageCollection|Float, default: 4|Float, default: 0.45|Float, default: 3|Integer, default: 30	Collection from which to extract VCT disturbances, containing the bands: B3, B4, B5, B7, thermal, NDVI, DNBR and COMP.  This collection is expected to contain 1 image for each year, sorted by time.|Collection from which to extract VCT masks. This collection is expected to contain 1 image for each image in the timeSeries, sorted by time.|Maximum Z-score composite value for detecting forest.|Minimum NDVI value for forest.|Maximum threshold for forest.|Maximum number of years.
ee.Algorithms.TemporalSegmentation.Verdet	Vegetation Regeneration and Disturbance Estimates through Time, forest change detection algorithm. This algorithm generates a yearly clear-sky composite from satellite imagery, calculates a spectral vegetation index for each pixel in that composite, spatially segments the vegetation index image into patches, temporally divides the time series into differently sloped segments, and then labels those segments as disturbed, stable, or regenerating. Segmentation at both the spatial and temporal steps are performed using total variation regularization.	ee.Algorithms.TemporalSegmentation.Verdet(timeSeries, tolerance, alpha, nRuns)	Image	timeSeries|tolerance|alpha|nRuns	ImageCollection|Float, default: 0.0001|Float, default: 0.03333333333333333|Integer, default: 100	Collection from which to extract VeRDET scores. This collection is expected to contain 1 image for each year, sorted temporally.|convergence tolerance|Regularization parameter for segmentation.|Maximum number of runs for convergence.
ee.Algorithms.Terrain	Calculates slope, aspect, and a simple hillshade from a terrain DEM.	ee.Algorithms.Terrain(input)	Image	input	Image	An elevation image, in meters.
ee.Array	Returns an array with the given coordinates.	ee.Array(values, pixelType)	Array	values|pixelType	Object|PixelType, default: null	An existing array to cast, or a number/list of numbers/nested list of numbers of any depth to create an array from. For nested lists, all inner arrays at the same depth must have the same length, and numbers may only be present at the deepest level.|The type of each number in the values argument. If the pixel type is not provided, it will be inferred from the numbers in 'values'. If there aren't any numbers in 'values', this type must be provided.
ee.Array.abs	On an element-wise basis, computes the absolute value of the input.	Array.abs()	Array	input	Array	The input array.
ee.Array.accum	Accumulates elements of an array along the given axis, by setting each element of the result to the reduction of elements along that axis up to and including the current position. May be used to make a cumulative sum, a monotonically increasing sequence, etc.	Array.accum(axis, reducer)	Array	array|axis|reducer	Array|Integer|Reducer, default: null	Array to accumulate.|Axis along which to perform the accumulation.|Reducer to accumulate values. Default is SUM, to produce the cumulative sum of each vector along the given axis.
ee.Array.acos	On an element-wise basis, computes the arc cosine in radians of the input.	Array.acos()	Array	input	Array	The input array.
ee.Array.add	On an element-wise basis, adds the first value to the second.	Array.add(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.and	On an element-wise basis, returns 1 iff both values are non-zero.	Array.and(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.argmax	Returns the position, as a list of indices in each array axis, of the maximum value in an array, or null if the array is empty. If there are multiple occurrences of the maximum, returns the position of the first.	Array.argmax()	List	array	Array
ee.Array.asin	On an element-wise basis, computes the arc sine in radians of the input.	Array.asin()	Array	input	Array	The input array.
ee.Array.atan	On an element-wise basis, computes the arc tangent in radians of the input.	Array.atan()	Array	input	Array	The input array.
ee.Array.atan2	On an element-wise basis, calculates the angle formed by the 2D vector [x, y].	Array.atan2(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.bitCount	On an element-wise basis, calculates the number of one-bits in the 64-bit two's complement binary representation of the input.	Array.bitCount()	Array	input	Array	The input array.
ee.Array.bitsToArray	Convert the bits of an integer to an Array.  The array has as many elements as the position of the highest set bit, or a single 0 for a value of 0.	ee.Array.bitsToArray(input)	Array	input	Number
ee.Array.bitwiseAnd	On an element-wise basis, calculates the bitwise AND of the input values.	Array.bitwiseAnd(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.bitwiseNot	On an element-wise basis, calculates the bitwise NOT of the input, in the smallest signed integer type that can hold the input.	Array.bitwiseNot()	Array	input	Array	The input array.
ee.Array.bitwiseOr	On an element-wise basis, calculates the bitwise OR of the input values.	Array.bitwiseOr(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.bitwiseXor	On an element-wise basis, calculates the bitwise XOR of the input values.	Array.bitwiseXor(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.bitwise_and	On an element-wise basis, calculates the bitwise AND of the input values.	Array.bitwise_and(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.bitwise_not	On an element-wise basis, calculates the bitwise NOT of the input, in the smallest signed integer type that can hold the input.	Array.bitwise_not()	Array	input	Array	The input array.
ee.Array.bitwise_or	On an element-wise basis, calculates the bitwise OR of the input values.	Array.bitwise_or(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.bitwise_xor	On an element-wise basis, calculates the bitwise XOR of the input values.	Array.bitwise_xor(right)	Array	left|right	Array|Array	The left-hand value.|The right-hand value.
ee.Array.byte	On an element-wise basis, casts the input value to an unsigned 8-bit integer.	Array.byte()	Array	input	Array	The input array.
ee.Array.cat	Concatenates multiple arrays into a single array along the given axis.  Each array must have the same dimensionality and the same length on all axes except the concatenation axis.	ee.Array.cat(arrays, axis)	Array	arrays|axis	List|Integer, default: 0	Arrays to concatenate.|Axis to concatenate along.
