id,provider,title,start_date,end_date,startyear,endyear,type,tags,asset_url,thumbnail_url
AU/GA/DEM_1SEC/v10/DEM-S,Geoscience Australia,DEM-S: Australian Smoothed Digital Elevation Model,2010-02-01,2010-02-01,2010,2010,image,"australia, dem, elevation, elevation-topography, ga, geophysical, geoscience-australia, smoothed, srtm",https://developers.google.com/earth-engine/datasets/catalog/AU_GA_DEM_1SEC_v10_DEM-S,https://developers.google.com/earth-engine/datasets/images/AU/AU_GA_DEM_1SEC_v10_DEM-S_sample.png
BIOPAMA/GlobalOilPalm/v1,Biopama programme,Global Map of Oil Palm Plantations,2019-01-01,2019-12-31,2019,2019,image_collection,"agriculture, biodiversity, biopama, conservation, crop, global, landuse, palm, plantation",https://developers.google.com/earth-engine/datasets/catalog/BIOPAMA_GlobalOilPalm_v1,https://developers.google.com/earth-engine/datasets/images/BIOPAMA/BIOPAMA_GlobalOilPalm_v1_sample.png
BLM/AIM/v1/TerrADat/TerrestrialAIM,US Department of Interior Bureau of Land Management (BLM),BLM AIM TerrADat TerrestrialAIM Point v1,2011-05-10,2016-12-06,2011,2016,table,"aim, biota, blm, ecosystems, endangered, environment, grsg, health, hydrology, landscape, range, soil, table, terradat, terrestrialaim, vegetation, wildlife",https://developers.google.com/earth-engine/datasets/catalog/BLM_AIM_v1_TerrADat_TerrestrialAIM,https://developers.google.com/earth-engine/datasets/images/BLM/BLM_AIM_v1_TerrADat_TerrestrialAIM_sample.png
BNETD/land_cover/v1,BNETD-CIGN,Cote d'Ivoire BNETD 2020 Land Cover Map,2020-01-01,2021-01-01,2020,2021,image_collection,"classification, deforestation, forest, landcover, landuse-landcover",https://developers.google.com/earth-engine/datasets/catalog/BNETD_land_cover_v1,https://developers.google.com/earth-engine/datasets/images/BNETD/BNETD_land_cover_v1_sample.png
BNU/FGS/CCNL/v1,Beijing Normal University,CCNL: Consistent and Corrected Nighttime Light Dataset from DMSP-OLS (1992-2013) v1,1992-01-01,2014-01-01,1992,2014,image_collection,"bnu, dmsp, eog, imagery, lights, nighttime, ols, population, visible, yearly",https://developers.google.com/earth-engine/datasets/catalog/BNU_FGS_CCNL_v1,https://developers.google.com/earth-engine/datasets/images/BNU/BNU_FGS_CCNL_v1_sample.png
CANADA/NFIS/NTEMS/CA_FOREST_AGE,National Forest Information System,Landsat-derived forest age for Canada 2019,2019-01-01,2020-01-01,2019,2020,image_collection,"canada, forest, forest-biomass",https://developers.google.com/earth-engine/datasets/catalog/CANADA_NFIS_NTEMS_CA_FOREST_AGE,https://developers.google.com/earth-engine/datasets/images/CANADA/CANADA_NFIS_NTEMS_CA_FOREST_AGE_sample.png
CAS/IGSNRR/PML/V2_v018,PML_V2,PML_V2 0.1.8: Coupled Evapotranspiration and Gross Primary Product (GPP),2000-02-26,2023-12-27,2000,2023,image_collection,"evapotranspiration, gpp, plant-productivity, water-vapor",https://developers.google.com/earth-engine/datasets/catalog/CAS_IGSNRR_PML_V2_v018,https://developers.google.com/earth-engine/datasets/images/CAS/CAS_IGSNRR_PML_V2_v018_sample.png
CGIAR/SRTM90_V4,NASA/CGIAR,SRTM Digital Elevation Data Version 4,2000-02-11,2000-02-22,2000,2000,image,"cgiar, dem, elevation, elevation-topography, geophysical, srtm, topography",https://developers.google.com/earth-engine/datasets/catalog/CGIAR_SRTM90_V4,https://developers.google.com/earth-engine/datasets/images/CGIAR/CGIAR_SRTM90_V4_sample.png
CIESIN/GPWv411/GPW_Basic_Demographic_Characteristics,NASA SEDAC at the Center for International Earth Science Information Network,GPWv411: Basic Demographic Characteristics (Gridded Population of the World Version 4.11),2000-01-01,2020-01-01,2000,2020,image_collection,"ciesin, gpw, nasa, population",https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Basic_Demographic_Characteristics,https://developers.google.com/earth-engine/datasets/images/CIESIN/CIESIN_GPWv411_GPW_Basic_Demographic_Characteristics_sample.png
CIESIN/GPWv411/GPW_Data_Context,NASA SEDAC at the Center for International Earth Science Information Network,GPWv411: Data Context (Gridded Population of the World Version 4.11),2000-01-01,2020-01-01,2000,2020,image_collection,"ciesin, gpw, nasa, population",https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Data_Context,https://developers.google.com/earth-engine/datasets/images/CIESIN/CIESIN_GPWv411_GPW_Data_Context_sample.png
CIESIN/GPWv411/GPW_Land_Area,NASA SEDAC at the Center for International Earth Science Information Network,GPWv411: Land Area (Gridded Population of the World Version 4.11),2000-01-01,2020-01-01,2000,2020,image_collection,"ciesin, gpw, nasa, population",https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Land_Area,https://developers.google.com/earth-engine/datasets/images/CIESIN/CIESIN_GPWv411_GPW_Land_Area_sample.png
CIESIN/GPWv411/GPW_Mean_Administrative_Unit_Area,NASA SEDAC at the Center for International Earth Science Information Network,GPWv411: Mean Administrative Unit Area (Gridded Population of the World Version 4.11),2000-01-01,2020-01-01,2000,2020,image_collection,"ciesin, gpw, nasa, population",https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Mean_Administrative_Unit_Area,https://developers.google.com/earth-engine/datasets/images/CIESIN/CIESIN_GPWv411_GPW_Mean_Administrative_Unit_Area_sample.png
CIESIN/GPWv411/GPW_National_Identifier_Grid,NASA SEDAC at the Center for International Earth Science Information Network,GPWv411: National Identifier Grid (Gridded Population of the World Version 4.11),2000-01-01,2020-01-01,2000,2020,image_collection,"ciesin, gpw, nasa, population",https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_National_Identifier_Grid,https://developers.google.com/earth-engine/datasets/images/CIESIN/CIESIN_GPWv411_GPW_National_Identifier_Grid_sample.png
CIESIN/GPWv411/GPW_Population_Count,NASA SEDAC at the Center for International Earth Science Information Network,GPWv411: Population Count (Gridded Population of the World Version 4.11),2000-01-01,2020-01-01,2000,2020,image_collection,"ciesin, gpw, nasa, population",https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Population_Count,https://developers.google.com/earth-engine/datasets/images/CIESIN/CIESIN_GPWv411_GPW_Population_Count_sample.png
CIESIN/GPWv411/GPW_Population_Density,NASA SEDAC at the Center for International Earth Science Information Network,GPWv411: Population Density (Gridded Population of the World Version 4.11),2000-01-01,2020-01-01,2000,2020,image_collection,"ciesin, gpw, nasa, population",https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Population_Density,https://developers.google.com/earth-engine/datasets/images/CIESIN/CIESIN_GPWv411_GPW_Population_Density_sample.png
CIESIN/GPWv411/GPW_UNWPP-Adjusted_Population_Count,NASA SEDAC at the Center for International Earth Science Information Network,GPWv411: Adjusted to Match 2015 Revision of UN WPP Country Totals (Gridded Population of the World Version 4.11),2000-01-01,2020-01-01,2000,2020,image_collection,"ciesin, gpw, nasa, population",https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_UNWPP-Adjusted_Population_Count,https://developers.google.com/earth-engine/datasets/images/CIESIN/CIESIN_GPWv411_GPW_UNWPP-Adjusted_Population_Count_sample.png
CIESIN/GPWv411/GPW_UNWPP-Adjusted_Population_Density,NASA SEDAC at the Center for International Earth Science Information Network,GPWv411: UN-Adjusted Population Density (Gridded Population of the World Version 4.11),2000-01-01,2020-01-01,2000,2020,image_collection,"ciesin, gpw, nasa, population",https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_UNWPP-Adjusted_Population_Density,https://developers.google.com/earth-engine/datasets/images/CIESIN/CIESIN_GPWv411_GPW_UNWPP-Adjusted_Population_Density_sample.png
CIESIN/GPWv411/GPW_Water_Area,NASA SEDAC at the Center for International Earth Science Information Network,GPWv411: Water Area (Gridded Population of the World Version 4.11),2000-01-01,2020-01-01,2000,2020,image_collection,"ciesin, gpw, nasa, population, surface-ground-water",https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Water_Area,https://developers.google.com/earth-engine/datasets/images/CIESIN/CIESIN_GPWv411_GPW_Water_Area_sample.png
CIESIN/GPWv411/GPW_Water_Mask,NASA SEDAC at the Center for International Earth Science Information Network,GPWv411: Water Mask (Gridded Population of the World Version 4.11),2000-01-01,2020-01-01,2000,2020,image_collection,"ciesin, gpw, nasa, population, surface-ground-water",https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Water_Mask,https://developers.google.com/earth-engine/datasets/images/CIESIN/CIESIN_GPWv411_GPW_Water_Mask_sample.png
COPERNICUS/CORINE/V20/100m,EEA/Copernicus,Copernicus CORINE Land Cover,1986-01-01,2018-12-31,1986,2018,image_collection,"clc, copernicus, corine, eea, esa, eu, landcover, landuse-landcover",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_CORINE_V20_100m,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_CORINE_V20_100m_sample.png
COPERNICUS/DEM/GLO30,Copernicus,Copernicus DEM GLO-30: Global 30m Digital Elevation Model,2010-12-01,2015-01-31,2010,2015,image_collection,"copernicus, dem, elevation, elevation-topography, geophysical",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_DEM_GLO30,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_DEM_GLO30_sample.png
COPERNICUS/Landcover/100m/Proba-V-C3/Global,Copernicus,Copernicus Global Land Cover Layers: CGLS-LC100 Collection 3,2015-01-01,2019-12-31,2015,2019,image_collection,"copernicus, eea, esa, eu, landcover, landuse-landcover, proba, probav, vito",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_Landcover_100m_Proba-V-C3_Global,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_Landcover_100m_Proba-V-C3_Global_sample.png
COPERNICUS/MARINE/GLOBAL_ANALYSISFORECAST_BGC_001_028/BIO,Copernicus,Copernicus Global Ocean Bio-Geo-Chemical Forecast - BIO,2022-01-01,2025-09-19,2022,2025,image_collection,"copernicus, daily, forecast, marine, ocean, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_GLOBAL_ANALYSISFORECAST_BGC_001_028_BIO,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_GLOBAL_ANALYSISFORECAST_BGC_001_028_BIO_sample.png
COPERNICUS/MARINE/GLOBAL_ANALYSISFORECAST_BGC_001_028/CAR,Copernicus,Copernicus Global Ocean Bio-Geo-Chemical Forecast - CAR,2022-01-01,2025-09-19,2022,2025,image_collection,"copernicus, daily, forecast, marine, ocean, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_GLOBAL_ANALYSISFORECAST_BGC_001_028_CAR,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_GLOBAL_ANALYSISFORECAST_BGC_001_028_CAR_sample.png
COPERNICUS/MARINE/GLOBAL_ANALYSISFORECAST_BGC_001_028/CO2,Copernicus,Copernicus Global Ocean Bio-Geo-Chemical Forecast - CO2,2022-01-01,2025-09-19,2022,2025,image_collection,"copernicus, daily, forecast, marine, ocean, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_GLOBAL_ANALYSISFORECAST_BGC_001_028_CO2,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_GLOBAL_ANALYSISFORECAST_BGC_001_028_CO2_sample.png
COPERNICUS/MARINE/GLOBAL_ANALYSISFORECAST_BGC_001_028/NUT,Copernicus,Copernicus Global Ocean Bio-Geo-Chemical Forecast - NUT,2022-01-01,2025-09-26,2022,2025,image_collection,"copernicus, daily, forecast, marine, ocean, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_GLOBAL_ANALYSISFORECAST_BGC_001_028_NUT,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_GLOBAL_ANALYSISFORECAST_BGC_001_028_NUT_sample.png
COPERNICUS/MARINE/GLOBAL_ANALYSISFORECAST_BGC_001_028/OPTICS,Copernicus,Copernicus Global Ocean Bio-Geo-Chemical Forecast - OPTICS,2022-01-01,2025-09-26,2022,2025,image_collection,"copernicus, daily, forecast, marine, ocean, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_GLOBAL_ANALYSISFORECAST_BGC_001_028_OPTICS,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_GLOBAL_ANALYSISFORECAST_BGC_001_028_OPTICS_sample.png
COPERNICUS/MARINE/GLOBAL_ANALYSISFORECAST_BGC_001_028/PFT,Copernicus,Copernicus Global Ocean Bio-Geo-Chemical Forecast - PFT,2022-01-01,2025-09-26,2022,2025,image_collection,"copernicus, daily, forecast, marine, ocean, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_GLOBAL_ANALYSISFORECAST_BGC_001_028_PFT,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_GLOBAL_ANALYSISFORECAST_BGC_001_028_PFT_sample.png
COPERNICUS/MARINE/GLOBAL_ANALYSISFORECAST_BGC_001_028/PLANKTON,Copernicus,Copernicus Global Ocean Bio-Geo-Chemical Forecast - PLANKTON,2022-01-01,2025-09-26,2022,2025,image_collection,"copernicus, daily, forecast, marine, ocean, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_GLOBAL_ANALYSISFORECAST_BGC_001_028_PLANKTON,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_GLOBAL_ANALYSISFORECAST_BGC_001_028_PLANKTON_sample.png
COPERNICUS/MARINE/GLOBAL_ANALYSISFORECAST_PHY_DAILY,Copernicus Marine Service,Global Ocean Physics Analysis and Forecast Daily,2022-06-01,2025-12-27,2022,2025,image_collection,"copernicus, daily, forecast, marine, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_GLOBAL_ANALYSISFORECAST_PHY_DAILY,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_GLOBAL_ANALYSISFORECAST_PHY_DAILY_sample.png
COPERNICUS/MARINE/GLOBAL_SEA_SURFACE/NRT_DAILY,Copernicus,"Multi Observation Global Ocean Sea Surface Salinity and Sea Surface Density : Daily, Near Real Time",2023-01-01,2025-12-12,2023,2025,image_collection,"copernicus, marine, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_GLOBAL_SEA_SURFACE_NRT_DAILY,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_GLOBAL_SEA_SURFACE_NRT_DAILY_sample.png
COPERNICUS/MARINE/GLOBAL_SEA_SURFACE/REP_DAILY,Copernicus,"Multi Observation Global Ocean Sea Surface Salinity and Sea Surface Density : Daily, Multi-Year Reprocessed",1993-01-01,2024-12-15,1993,2024,image_collection,"copernicus, marine, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_GLOBAL_SEA_SURFACE_REP_DAILY,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_GLOBAL_SEA_SURFACE_REP_DAILY_sample.png
COPERNICUS/MARINE/INSITU_MULTI_4KM/ARGO,Copernicus,Copernicus Global In-situ Observations of Ocean Currents - Argo,2025-03-28,2025-12-19,2025,2025,bigquery_table,"copernicus, currents, insitu, marine, ocean, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_INSITU_MULTI_4KM_ARGO,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_INSITU_MULTI_4KM_ARGO_sample.png
COPERNICUS/MARINE/INSITU_MULTI_4KM/DRIFTER,Copernicus,Copernicus Global In-situ Observations of Ocean Currents - Drifter,2025-03-28,2025-12-19,2025,2025,bigquery_table,"copernicus, currents, insitu, marine, ocean, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_INSITU_MULTI_4KM_DRIFTER,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_INSITU_MULTI_4KM_DRIFTER_sample.png
COPERNICUS/MARINE/INSITU_MULTI_4KM/RADAR_RADIAL,Copernicus,Copernicus Global In-situ Observations of Ocean Currents - Radar Radial,2025-03-28,2025-12-19,2025,2025,bigquery_table,"copernicus, currents, insitu, marine, ocean, oceans, radar",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_INSITU_MULTI_4KM_RADAR_RADIAL,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_INSITU_MULTI_4KM_RADAR_RADIAL_sample.png
COPERNICUS/MARINE/INSITU_MULTI_4KM/RADAR_TOTAL,Copernicus,Copernicus Global In-situ Observations of Ocean Currents - Radar Total,2025-03-28,2025-12-19,2025,2025,bigquery_table,"copernicus, currents, insitu, marine, ocean, oceans, radar",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_INSITU_MULTI_4KM_RADAR_TOTAL,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_INSITU_MULTI_4KM_RADAR_TOTAL_sample.png
COPERNICUS/MARINE/OC_GLO_BGC/OPTICS_MULTI_4KM,Copernicus,"Global Ocean Colour: Bio-Geo-Chemical, L4, from Satellite Observations, Optics, Multi-Sensor 4KM",2023-04-01,2025-11-01,2023,2025,image_collection,"copernicus, marine, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_OC_GLO_BGC_OPTICS_MULTI_4KM,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_OC_GLO_BGC_OPTICS_MULTI_4KM_sample.png
COPERNICUS/MARINE/OC_GLO_BGC/PLANKTON_MULTI_4KM,Copernicus,"Global Ocean Colour: Bio-Geo-Chemical, L4, from Satellite Observations, Plankton, Multi-Sensor, 4KM",2023-04-01,2025-12-16,2023,2025,image_collection,"copernicus, marine, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_OC_GLO_BGC_PLANKTON_MULTI_4KM,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_OC_GLO_BGC_PLANKTON_MULTI_4KM_sample.png
COPERNICUS/MARINE/OC_GLO_BGC/PLANKTON_OLCI_300M,Copernicus,"Global Ocean Colour: Bio-Geo-Chemical, L4, from Satellite Observations, Plankton, OLCI, 300M",2023-04-01,2025-11-01,2023,2025,image_collection,"copernicus, marine, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_OC_GLO_BGC_PLANKTON_OLCI_300M,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_OC_GLO_BGC_PLANKTON_OLCI_300M_sample.png
COPERNICUS/MARINE/OC_GLO_BGC/PRIMARY_PRODUCTION_MULTI_4KM,Copernicus,"Global Ocean Colour: Bio-Geo-Chemical, L4, from Satellite Observations, Primary Production, Multi-Sensor 4KM",2023-04-01,2025-11-01,2023,2025,image_collection,"copernicus, marine, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_OC_GLO_BGC_PRIMARY_PRODUCTION_MULTI_4KM,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_OC_GLO_BGC_PRIMARY_PRODUCTION_MULTI_4KM_sample.png
COPERNICUS/MARINE/OC_GLO_BGC/REFLECTANCE_MULTI_4KM,Copernicus,"Global Ocean Colour: Bio-Geo-Chemical, L4, from Satellite Observations, Reflectance, Multi-Sensor 4KM",2023-04-01,2025-11-01,2023,2025,image_collection,"copernicus, marine, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_OC_GLO_BGC_REFLECTANCE_MULTI_4KM,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_OC_GLO_BGC_REFLECTANCE_MULTI_4KM_sample.png
COPERNICUS/MARINE/OC_GLO_BGC/REFLECTANCE_OLCI_300M,Copernicus,"Global Ocean Colour: Bio-Geo-Chemical, L4, from Satellite Observations, Reflectance, OLCI 300M",2023-04-01,2025-11-01,2023,2025,image_collection,"copernicus, marine, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_OC_GLO_BGC_REFLECTANCE_OLCI_300M,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_OC_GLO_BGC_REFLECTANCE_OLCI_300M_sample.png
COPERNICUS/MARINE/OC_GLO_BGC/TRANSPARENCY_MULTI_4KM,Copernicus,"Global Ocean Colour: Bio-Geo-Chemical, L4, from Satellite Observations, Transparency, Multi-Sensor, 4KM",2023-04-01,2025-12-16,2023,2025,image_collection,"copernicus, marine, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_OC_GLO_BGC_TRANSPARENCY_MULTI_4KM,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_OC_GLO_BGC_TRANSPARENCY_MULTI_4KM_sample.png
COPERNICUS/MARINE/OC_GLO_BGC/TRANSPARENCY_OLCI_4KM,Copernicus,"Global Ocean Colour: Bio-Geo-Chemical, L4, from Satellite Observations, Transparency, OLCI, 4KM",2023-04-01,2025-11-01,2023,2025,image_collection,"copernicus, marine, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_OC_GLO_BGC_TRANSPARENCY_OLCI_4KM,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_OC_GLO_BGC_TRANSPARENCY_OLCI_4KM_sample.png
COPERNICUS/MARINE/SATELLITE_OCEAN_COLOR/V6,Copernicus,Copernicus Satellite Ocean Color Daily Data,1997-01-01,2024-12-31,1997,2024,image_collection,"chlorophyll-a, copernicus, daily, marine, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_SATELLITE_OCEAN_COLOR_V6,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_SATELLITE_OCEAN_COLOR_V6_sample.png
COPERNICUS/MARINE/WAV/ANFC_0_083DEG_PT3H,Copernicus Marine Service Global Ocean Waves and Forecasts,Global Ocean Waves Analysis and Forecast ,2022-06-01,2025-12-27,2022,2025,image_collection,"copernicus, forecast, hourly, marine, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_WAV_ANFC_0_083DEG_PT3H,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_WAV_ANFC_0_083DEG_PT3H_sample.png
COPERNICUS/MARINE/WAV/ANFC_0_083DEG_STATIC,Copernicus Marine Service Global Ocean Waves and Forecasts,Global Ocean Waves Static Bathymetry,2022-06-01,2001-09-01,2022,2001,image_collection,"bathymetry, copernicus, marine, oceans",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_MARINE_WAV_ANFC_0_083DEG_STATIC,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_MARINE_WAV_ANFC_0_083DEG_STATIC_sample.png
COPERNICUS/S1_GRD,European Union/ESA/Copernicus,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",2014-10-03,2025-12-18,2014,2025,image_collection,"backscatter, copernicus, esa, eu, polarization, radar, sar, satellite-imagery, sentinel",https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S1_GRD,https://developers.google.com/earth-engine/datasets/images/COPERNICUS/COPERNICUS_S1_GRD_sample.png
